,change_sum,code
1051,0.547150735555315,603499
3284,0.4018994424541694,002336
1690,0.389471081775803,600810
2639,0.3680080652960874,600202
2136,0.3560781045233591,002229
269,0.3401604980244356,603269
1943,0.33601561285096765,300104
785,0.3042875612766702,300348
2337,0.299540269550975,000576
3001,0.28907851247922095,300393
2395,0.28134925328609783,002460
3242,0.27506476221506,600588
3315,0.2711421856532073,603329
332,0.26732635835665053,600507
700,0.2564828975081669,601111
2898,0.25356478218757095,600198
17,0.253558991207181,300727
2068,0.2481431946606406,002466
367,0.2480459427060008,002136
2945,0.24571019311261086,300277
